,Unnamed: 0,Unnamed: 0.1,Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text,ZIP_CODE
12228,119169,164771,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008352,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.8,8.0,9.6,,,3517.0,"(32.9272106598, -117.138143732)",HLTHOUT,PHLTH,666000.0,6073008352.0,Physical Health,92126
12229,119170,164772,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008353,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.7,8.8,10.5,,,5048.0,"(32.9328144485, -117.133675203)",HLTHOUT,PHLTH,666000.0,6073008353.0,Physical Health,92126
12230,119171,164773,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008354,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7.4,6.9,8.1,,,5972.0,"(32.9332189523, -117.118674003)",HLTHOUT,PHLTH,666000.0,6073008354.0,Physical Health,92126
12231,119172,164774,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008355,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.1,7.4,8.8,,,3365.0,"(32.9217551107, -117.126605426)",HLTHOUT,PHLTH,666000.0,6073008355.0,Physical Health,92126
12232,119173,164775,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008356,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7.7,7.0,8.3,,,3629.0,"(32.9209153376, -117.139762144)",HLTHOUT,PHLTH,666000.0,6073008356.0,Physical Health,92126
12233,119174,164776,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008357,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.4,7.6,9.3,,,4345.0,"(32.916493647, -117.135325838)",HLTHOUT,PHLTH,666000.0,6073008357.0,Physical Health,92126
12234,119175,164777,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008358,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.3,9.4,11.2,,,6554.0,"(32.9099605358, -117.133508733)",HLTHOUT,PHLTH,666000.0,6073008358.0,Physical Health,92126
12235,119176,164778,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008359,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7.9,7.2,8.6,,,3975.0,"(32.9103180156, -117.120472773)",HLTHOUT,PHLTH,666000.0,6073008359.0,Physical Health,92126
12236,119177,164779,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008360,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.4,7.7,9.1,,,5857.0,"(32.8999359873, -117.129657087)",HLTHOUT,PHLTH,666000.0,6073008360.0,Physical Health,92126
12237,119178,164780,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008361,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.1,8.3,9.9,,,2642.0,"(32.8680044824, -117.234146335)",HLTHOUT,PHLTH,666000.0,6073008361.0,Physical Health,92037
12238,119179,164781,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008362,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7.9,7.2,8.8,,,3141.0,"(32.8589730049, -117.233409061)",HLTHOUT,PHLTH,666000.0,6073008362.0,Physical Health,92037
12239,119180,164782,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008363,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,6.4,5.6,7.2,,,4921.0,"(32.865471651, -117.222926125)",HLTHOUT,PHLTH,666000.0,6073008363.0,Physical Health,92122
12240,119181,164783,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008364,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7.1,6.4,7.8,,,4992.0,"(32.8599016017, -117.227403978)",HLTHOUT,PHLTH,666000.0,6073008364.0,Physical Health,92122
